id;title;authors;description;unit_price;image;image_content_type;quantity
1;Handmade Cotton Table CSS;Mayotte Dynamic SAS;digital forecast Bahrain;98206;../fake-data/blob/hipster.png;image/png;89889
2;Baht radical solid state;mobile intuitive high-level;Pass;18077;../fake-data/blob/hipster.png;image/png;74365
3;Wyoming Sudan;Mall Kansas Accountability;Texas auxiliary;99140;../fake-data/blob/hipster.png;image/png;70037
4;redefine;software Optimization secondary;Toys Soft Alaska;2840;../fake-data/blob/hipster.png;image/png;14003
5;Personal Loan Account bleeding-edge payment;markets;ivory Mouse;72527;../fake-data/blob/hipster.png;image/png;84731
6;Licensed Plastic Bacon Consultant XML;Developer orchestrate;online withdrawal payment;4566;../fake-data/blob/hipster.png;image/png;5839
7;Shoes transmitting grow;Practical Granite Chicken;generate Health deposit;37325;../fake-data/blob/hipster.png;image/png;50518
8;Computer navigate Chicken;back-end;Producer hard drive;85765;../fake-data/blob/hipster.png;image/png;29497
9;Product programming;Checking Account Industrial;back-end Future-proofed compressing;93660;../fake-data/blob/hipster.png;image/png;15024
10;green Dominica;Shoes parse world-class;Cocos (Keeling) Islands South Carolina;5658;../fake-data/blob/hipster.png;image/png;71840
